REPTreeDepth3, 2 folds;J48.0001., 2 folds;DefaultAccuracy;NominalAttDistinctValues;RandomTreeDepth1, 2 folds;Cardinality;RandomTreeDepth3, 2 folds;CfsSubsetEval_NaiveBayes, 2 folds;J48.001., 2 folds;J48.00001., 2 folds;DecisionStump, 2 folds;SimpleMetaFeatures;RandomTreeDepth2, 2 folds;NaiveBayes, 2 folds;CfsSubsetEval_DecisionStump, 2 folds;CfsSubsetEval_kNN1N, 2 folds;REPTreeDepth1, 2 folds;Statistical;kNN1N, 2 folds;REPTreeDepth2, 2 folds;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;22;0;0;0;0;;
0;16;0;0;0;0;0;35;0;16;15;0;0;0;18;16;0;0;54;0;;
0;0;0;0;0;0;0;14;0;0;0;0;0;0;15;31;0;0;0;0;;
0;0;0;0;0;1;18;31;0;0;0;0;0;0;16;22;16;0;47;15;;
0;0;0;0;0;0;0;15;0;0;0;0;0;16;16;16;0;0;0;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;16;23;0;0;0;0;;
0;0;0;0;0;0;0;21;0;15;0;0;0;0;32;16;0;0;16;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;53;0;0;0;0;;
0;0;0;0;0;0;0;15;0;0;0;0;15;0;32;16;0;0;22;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;16;0;0;0;0;;
16;16;0;0;15;0;0;31;16;15;0;0;0;15;31;23;22;0;85;16;;
0;15;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
16;0;0;0;0;0;0;16;0;0;0;0;0;0;15;22;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;15;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;15;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;15;16;0;0;0;0;;
1;1;0;0;1;0;0;16;0;0;0;0;1;0;18;31;0;0;0;0;;
16;0;0;0;15;0;0;22;16;0;0;0;0;16;16;15;0;0;31;16;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;16;0;0;1;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;15;16;0;0;0;0;;
0;0;0;0;0;0;0;30;0;0;0;0;0;0;8;15;0;0;16;15;;
0;1;0;0;1;0;1;15;16;1;0;0;1;0;16;16;0;0;0;0;;
16;16;15;0;5;0;0;31;16;16;0;0;0;16;31;22;17;0;146;15;;
20;45;0;0;10;7;8;33;45;43;8;0;9;31;34;34;21;31;316;20;;
0;0;0;0;0;0;0;16;0;0;1;0;0;0;15;4;16;0;0;0;;
15;0;0;0;0;0;0;19;0;0;15;0;0;0;16;19;0;0;0;0;;
0;0;0;0;16;0;0;15;0;0;0;0;0;0;16;23;0;0;15;0;;
0;0;0;0;0;0;0;16;0;0;0;0;16;0;15;22;0;0;16;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;22;0;0;16;16;;
15;16;0;0;0;0;0;16;15;0;0;0;16;16;22;31;0;0;53;0;;
16;0;0;0;0;0;0;16;0;0;0;0;0;0;15;22;0;0;0;0;;
0;0;0;0;0;0;0;31;0;4;0;0;18;0;16;16;15;0;38;0;;
0;16;0;0;0;0;16;31;5;15;0;0;0;15;33;16;0;0;85;0;;
0;0;0;0;15;0;16;17;0;0;0;0;0;0;16;16;0;0;15;0;;
0;0;0;0;0;0;16;18;0;0;0;0;0;0;4;15;0;0;0;0;;
16;31;0;0;0;0;0;16;32;15;0;0;16;16;31;37;6;0;131;0;;
0;16;0;0;0;0;0;16;1;16;0;0;0;15;36;16;0;0;16;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;23;16;0;0;0;0;;
0;16;0;0;0;0;0;22;16;22;15;0;0;16;31;16;0;0;100;15;;
0;1;0;0;0;0;0;16;1;1;0;0;0;0;31;15;0;0;16;0;;
0;0;0;0;0;0;0;31;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;22;0;0;0;0;;
15;1;0;0;4;0;0;15;0;0;0;0;16;0;32;31;17;0;38;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;31;0;0;0;0;;
1;1;0;0;0;0;0;31;0;0;0;0;0;0;17;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;24;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;1;0;16;2;15;17;0;0;25;0;;
0;0;0;0;0;0;15;31;0;0;1;0;0;16;16;5;0;0;0;0;;
0;0;0;0;0;0;0;31;0;0;1;0;0;16;16;5;0;0;0;16;;
0;0;0;0;0;0;0;32;0;0;0;0;0;2;15;5;0;0;18;0;;
